example_id,source,current_profile,reactive_true,reactive_predicted,reactive_confidence,predictive_true,predictive_predicted,downgrade_probability,threshold,final_profile,action,notes,correct_reactive,correct_predictive
real_0,reactive_test,medium,low,low,0.95,,maintain,0.09186979352639668,0.45000000000000007,,,,True,
real_1,reactive_test,medium,medium,medium,0.89,,maintain,0.09186979352639668,0.45000000000000007,,,,True,
real_2,reactive_test,medium,high,high,1.0,,maintain,0.09186979352639668,0.45000000000000007,,,,True,
real_3,predictive_test,medium,,low,0.84,0.0,maintain,0.3419226735095431,0.45000000000000007,,,,,False
real_4,predictive_test,medium,,low,0.81,1.0,downgrade_needed,0.8031935395193608,0.45000000000000007,,,,,False
Escenario 1 (Limitada),hypothetical,medium,,low,0.96,,maintain,0.08010073492995336,0.45000000000000007,low,reducir,,,
Escenario 2 (Intermedia),hypothetical,medium,,medium,0.71,,maintain,0.08010073492995336,0.45000000000000007,medium,mantener,,,
sim_ciclo_0,sequential_simulation,high,,,,,,0.08010073492995336,,high,mantener,Ambos modelos indican estabilidad en la configuración actual.,,
sim_ciclo_1,sequential_simulation,high,,,,,,0.08010073492995336,,high,mantener,Ambos modelos indican estabilidad en la configuración actual.,,
sim_ciclo_2,sequential_simulation,high,,,,,,0.08010073492995336,,high,mantener,Ambos modelos indican estabilidad en la configuración actual.,,
sim_ciclo_3,sequential_simulation,high,,,,,,0.08010073492995336,,high,mantener,Ambos modelos indican estabilidad en la configuración actual.,,
sim_ciclo_4,sequential_simulation,high,,,,,,0.08010073492995336,,high,mantener,Ambos modelos indican estabilidad en la configuración actual.,,
sim_ciclo_5,sequential_simulation,high,,,,,,0.08010073492995336,,low,reducir,El modelo reactivo detectó métricas pobres instantáneas.,,
sim_ciclo_6,sequential_simulation,low,,,,,,0.08010073492995336,,low,mantener,Ambos modelos indican estabilidad en la configuración actual.,,
sim_ciclo_7,sequential_simulation,low,,,,,,0.08010073492995336,,low,mantener,Ambos modelos indican estabilidad en la configuración actual.,,
sim_ciclo_8,sequential_simulation,low,,,,,,0.08010073492995336,,low,mantener,Ambos modelos indican estabilidad en la configuración actual.,,
sim_ciclo_9,sequential_simulation,low,,,,,,0.08010073492995336,,low,mantener,Ambos modelos indican estabilidad en la configuración actual.,,
sim_ciclo_10,sequential_simulation,low,,,,,,0.08010073492995336,,low,mantener,Ambos modelos indican estabilidad en la configuración actual.,,
sim_ciclo_11,sequential_simulation,low,,,,,,0.08010073492995336,,low,mantener,Aumento bloqueado por cooldown (60.0s < 120s),,
sim_ciclo_12,sequential_simulation,low,,,,,,0.08010073492995336,,low,mantener,Aumento bloqueado por cooldown (70.0s < 120s),,
sim_ciclo_13,sequential_simulation,low,,,,,,0.08010073492995336,,low,mantener,Aumento bloqueado por cooldown (80.0s < 120s),,
sim_ciclo_14,sequential_simulation,low,,,,,,0.08010073492995336,,low,mantener,Aumento bloqueado por cooldown (90.0s < 120s),,
sim_ciclo_15,sequential_simulation,low,,,,,,0.08010073492995336,,low,mantener,Aumento bloqueado por cooldown (100.0s < 120s),,
sim_ciclo_16,sequential_simulation,low,,,,,,0.08010073492995336,,low,mantener,Aumento bloqueado por cooldown (110.0s < 120s),,
sim_ciclo_17,sequential_simulation,low,,,,,,0.08010073492995336,,medium,aumentar,Condiciones sostenidas permiten subir un nivel con seguridad.,,
sim_ciclo_18,sequential_simulation,medium,,,,,,0.08010073492995336,,medium,mantener,"Reactivo pide aumento, pero falta histéresis (0/3 ciclos).",,
sim_ciclo_19,sequential_simulation,medium,,,,,,0.08010073492995336,,medium,mantener,"Reactivo pide aumento, pero falta histéresis (1/3 ciclos).",,
